award_year,category,laureate_id
1976,Chemistry,249
1976,Economic Sciences,688
1976,Literature,652
1976,Peace,535
1976,Peace,536
1976,Physics,105
1976,Physics,106
1976,Physiology or Medicine,409
1976,Physiology or Medicine,410
1977,Chemistry,250
1977,Economic Sciences,689
1977,Economic Sciences,690
1977,Literature,653
1977,Peace,537
1977,Physics,107
1977,Physics,108
1977,Physics,109
1977,Physiology or Medicine,411
1977,Physiology or Medicine,412
1977,Physiology or Medicine,413
1978,Chemistry,251
1978,Economic Sciences,691
1978,Literature,654
1978,Peace,538
1978,Peace,539
1978,Physics,110
1978,Physics,111
1978,Physics,112
1978,Physiology or Medicine,414
1978,Physiology or Medicine,415
1978,Physiology or Medicine,416
1979,Chemistry,252
1979,Chemistry,253
1979,Economic Sciences,692
1979,Economic Sciences,693
1979,Literature,655
1979,Peace,540
1979,Physics,113
1979,Physics,114
1979,Physics,115
1979,Physiology or Medicine,417
1979,Physiology or Medicine,418
1980,Chemistry,254
1980,Chemistry,255
1980,Chemistry,222
1980,Economic Sciences,694
1980,Literature,657
1980,Peace,541
1980,Physics,116
1980,Physics,117
1980,Physiology or Medicine,419
1980,Physiology or Medicine,420
1980,Physiology or Medicine,421
1981,Chemistry,257
1981,Chemistry,258
1981,Economic Sciences,695
1981,Literature,658
1981,Peace,515
1981,Physics,118
1981,Physics,119
1981,Physics,120
1981,Physiology or Medicine,422
1981,Physiology or Medicine,423
1981,Physiology or Medicine,424
1982,Chemistry,259
1982,Economic Sciences,696
1982,Literature,659
1982,Peace,543
1982,Peace,544
1982,Physics,121
1982,Physiology or Medicine,425
1982,Physiology or Medicine,426
1982,Physiology or Medicine,427
1983,Chemistry,260
1983,Economic Sciences,697
1983,Literature,660
1983,Peace,545
1983,Physics,122
1983,Physics,123
1983,Physiology or Medicine,428
1984,Chemistry,261
1984,Economic Sciences,698
1984,Literature,661
1984,Peace,546
1984,Physics,124
1984,Physics,125
1984,Physiology or Medicine,429
1984,Physiology or Medicine,430
1984,Physiology or Medicine,431
1985,Chemistry,262
1985,Chemistry,263
1985,Economic Sciences,699
1985,Literature,662
1985,Peace,547
1985,Physics,126
1985,Physiology or Medicine,432
1985,Physiology or Medicine,433
1986,Chemistry,264
1986,Chemistry,265
1986,Chemistry,266
1986,Economic Sciences,700
1986,Literature,663
1986,Peace,548
1986,Physics,127
1986,Physics,128
1986,Physics,129
1986,Physiology or Medicine,434
1986,Physiology or Medicine,435
1987,Chemistry,267
1987,Chemistry,268
1987,Chemistry,269
1987,Economic Sciences,701
1987,Literature,664
1987,Peace,549
1987,Physics,130
1987,Physics,131
1987,Physiology or Medicine,436
1988,Chemistry,270
1988,Chemistry,271
1988,Chemistry,272
1988,Economic Sciences,702
1988,Literature,665
1988,Peace,550
1988,Physics,132
1988,Physics,133
1988,Physics,134
1988,Physiology or Medicine,437
1988,Physiology or Medicine,438
1988,Physiology or Medicine,439
1989,Chemistry,273
1989,Chemistry,274
1989,Economic Sciences,703
1989,Literature,666
1989,Peace,551
1989,Physics,135
1989,Physics,136
1989,Physics,137
1989,Physiology or Medicine,440
1989,Physiology or Medicine,441
1990,Chemistry,275
1990,Economic Sciences,704
1990,Economic Sciences,705
1990,Economic Sciences,706
1990,Literature,667
1990,Peace,552
1990,Physics,138
1990,Physics,139
1990,Physics,140
1990,Physiology or Medicine,442
1990,Physiology or Medicine,443
1991,Chemistry,276
1991,Economic Sciences,707
1991,Literature,668
1991,Peace,553
1991,Physics,141
1991,Physiology or Medicine,444
1991,Physiology or Medicine,445
1992,Chemistry,277
1992,Economic Sciences,708
1992,Literature,669
1992,Peace,554
1992,Physics,142
1992,Physiology or Medicine,446
1992,Physiology or Medicine,447
1993,Chemistry,278
1993,Chemistry,279
1993,Economic Sciences,709
1993,Economic Sciences,710
1993,Literature,670
1993,Peace,555
1993,Peace,556
1993,Physics,143
1993,Physics,144
1993,Physiology or Medicine,448
1993,Physiology or Medicine,449
1994,Chemistry,280
1994,Economic Sciences,711
1994,Economic Sciences,712
1994,Economic Sciences,713
1994,Literature,671
1994,Peace,557
1994,Peace,558
1994,Peace,559
1994,Physics,145
1994,Physics,146
1994,Physiology or Medicine,450
1994,Physiology or Medicine,451
1995,Chemistry,281
1995,Chemistry,282
1995,Chemistry,283
1995,Economic Sciences,714
1995,Literature,672
1995,Peace,560
1995,Peace,561
1995,Physics,147
1995,Physics,148
1995,Physiology or Medicine,452
1995,Physiology or Medicine,453
1995,Physiology or Medicine,454
1996,Chemistry,284
1996,Chemistry,285
1996,Chemistry,286
1996,Economic Sciences,715
1996,Economic Sciences,716
1996,Literature,673
1996,Peace,562
1996,Peace,563
1996,Physics,149
1996,Physics,150
1996,Physics,151
1996,Physiology or Medicine,455
1996,Physiology or Medicine,456
1997,Chemistry,287
1997,Chemistry,288
1997,Chemistry,289
1997,Economic Sciences,717
1997,Economic Sciences,718
1997,Literature,674
1997,Peace,564
1997,Peace,565
1997,Physics,152
1997,Physics,153
1997,Physics,154
1997,Physiology or Medicine,457
1998,Chemistry,290
1998,Chemistry,291
1998,Economic Sciences,719
1998,Literature,675
1998,Peace,566
1998,Peace,567
1998,Physics,155
1998,Physics,156
1998,Physics,157
1998,Physiology or Medicine,458
1998,Physiology or Medicine,459
1998,Physiology or Medicine,460
1999,Chemistry,292
1999,Economic Sciences,720
1999,Literature,676
1999,Peace,568
1999,Physics,158
1999,Physics,159
1999,Physiology or Medicine,461
2000,Chemistry,729
2000,Chemistry,730
2000,Chemistry,731
2000,Economic Sciences,732
2000,Economic Sciences,733
2000,Literature,734
2000,Peace,725
2000,Physics,726
2000,Physics,727
2000,Physics,728
2000,Physiology or Medicine,722
2000,Physiology or Medicine,723
2000,Physiology or Medicine,724
2001,Chemistry,741
2001,Chemistry,742
2001,Chemistry,743
2001,Economic Sciences,744
2001,Economic Sciences,745
2001,Economic Sciences,746
2001,Literature,747
2001,Peace,748
2001,Peace,749
2001,Physics,738
2001,Physics,739
2001,Physics,740
2001,Physiology or Medicine,735
2001,Physiology or Medicine,736
2001,Physiology or Medicine,737
2002,Chemistry,756
2002,Chemistry,757
2002,Chemistry,758
2002,Economic Sciences,759
2002,Economic Sciences,760
2002,Literature,761
2002,Peace,762
2002,Physics,753
2002,Physics,754
2002,Physics,755
2002,Physiology or Medicine,750
2002,Physiology or Medicine,751
2002,Physiology or Medicine,752
2003,Chemistry,769
2003,Chemistry,770
2003,Economic Sciences,771
2003,Economic Sciences,772
2003,Literature,763
2003,Peace,773
2003,Physics,766
2003,Physics,767
2003,Physics,768
2003,Physiology or Medicine,764
2003,Physiology or Medicine,765
2004,Chemistry,779
2004,Chemistry,780
2004,Chemistry,781
2004,Economic Sciences,786
2004,Economic Sciences,787
2004,Literature,782
2004,Peace,783
2004,Physics,776
2004,Physics,777
2004,Physics,778
2004,Physiology or Medicine,774
2004,Physiology or Medicine,775
2005,Chemistry,794
2005,Chemistry,795
2005,Chemistry,796
2005,Economic Sciences,799
2005,Economic Sciences,800
2005,Literature,801
2005,Peace,797
2005,Peace,798
2005,Physics,791
2005,Physics,792
2005,Physics,793
2005,Physiology or Medicine,789
2005,Physiology or Medicine,790
2006,Chemistry,806
2006,Economic Sciences,807
2006,Literature,808
2006,Peace,809
2006,Peace,810
2006,Physics,804
2006,Physics,805
2006,Physiology or Medicine,802
2006,Physiology or Medicine,803
2007,Chemistry,816
2007,Economic Sciences,820
2007,Economic Sciences,821
2007,Economic Sciences,822
2007,Literature,817
2007,Peace,818
2007,Peace,819
2007,Physics,814
2007,Physics,815
2007,Physiology or Medicine,811
2007,Physiology or Medicine,812
2007,Physiology or Medicine,813
2008,Chemistry,829
2008,Chemistry,830
2008,Chemistry,831
2008,Economic Sciences,834
2008,Literature,832
2008,Peace,833
2008,Physics,826
2008,Physics,827
2008,Physics,828
2008,Physiology or Medicine,823
2008,Physiology or Medicine,824
2008,Physiology or Medicine,825
2009,Chemistry,841
2009,Chemistry,842
2009,Chemistry,843
2009,Economic Sciences,846
2009,Economic Sciences,847
2009,Literature,844
2009,Peace,845
2009,Physics,838
2009,Physics,839
2009,Physics,840
2009,Physiology or Medicine,835
2009,Physiology or Medicine,836
2009,Physiology or Medicine,837
2010,Chemistry,851
2010,Chemistry,852
2010,Chemistry,853
2010,Economic Sciences,856
2010,Economic Sciences,857
2010,Economic Sciences,858
2010,Literature,854
2010,Peace,855
2010,Physics,849
2010,Physics,850
2010,Physiology or Medicine,848
2011,Chemistry,867
2011,Economic Sciences,872
2011,Economic Sciences,873
2011,Literature,868
2011,Peace,869
2011,Peace,870
2011,Peace,871
2011,Physics,864
2011,Physics,865
2011,Physics,866
2011,Physiology or Medicine,861
2011,Physiology or Medicine,862
2011,Physiology or Medicine,863
2012,Chemistry,878
2012,Chemistry,879
2012,Economic Sciences,882
2012,Economic Sciences,883
2012,Literature,880
2012,Peace,881
2012,Physics,876
2012,Physics,877
2012,Physiology or Medicine,874
2012,Physiology or Medicine,875
2013,Chemistry,889
2013,Chemistry,890
2013,Chemistry,891
2013,Economic Sciences,894
2013,Economic Sciences,895
2013,Economic Sciences,896
2013,Literature,892
2013,Peace,893
2013,Physics,887
2013,Physics,888
2013,Physiology or Medicine,884
2013,Physiology or Medicine,885
2013,Physiology or Medicine,886
2014,Chemistry,909
2014,Chemistry,910
2014,Chemistry,911
2014,Economic Sciences,915
2014,Literature,912
2014,Peace,913
2014,Peace,914
2014,Physics,906
2014,Physics,907
2014,Physics,908
2014,Physiology or Medicine,903
2014,Physiology or Medicine,904
2014,Physiology or Medicine,905
2015,Chemistry,921
2015,Chemistry,922
2015,Chemistry,923
2015,Economic Sciences,926
2015,Literature,924
2015,Peace,925
2015,Physics,919
2015,Physics,920
2015,Physiology or Medicine,916
2015,Physiology or Medicine,917
2015,Physiology or Medicine,918
2016,Chemistry,931
2016,Chemistry,932
2016,Chemistry,933
2016,Economic Sciences,935
2016,Economic Sciences,936
2016,Literature,937
2016,Peace,934
2016,Physics,928
2016,Physics,929
2016,Physics,930
2016,Physiology or Medicine,927
2017,Chemistry,944
2017,Chemistry,945
2017,Chemistry,946
2017,Economic Sciences,949
2017,Literature,947
2017,Peace,948
2017,Physics,941
2017,Physics,942
2017,Physics,943
2017,Physiology or Medicine,938
2017,Physiology or Medicine,939
2017,Physiology or Medicine,940
2018,Chemistry,963
2018,Chemistry,964
2018,Chemistry,965
2018,Economic Sciences,968
